tid,r,l,t,s,i,a,g,f
19,146595.190361,670,21.252755,1,5955,press,platform,success
19,111151.483686,26,30.807707,1,5955,press,platform,success
19,146595.190361,670,48.323453,1,5955,press,platform,success
19,57662.202504,1025,70.202607,0,5955,press,platform,time out
19,146595.190361,670,87.488749,1,5955,press,platform,success
19,146595.190361,670,105.197404,1,5955,press,platform,success
19,146595.190361,670,122.680175,1,5955,press,platform,success
19,57662.202504,1025,144.688674,0,5955,press,platform,time out
19,111151.483686,26,154.213938,1,5955,press,platform,success
19,111151.483686,26,163.572729,1,5955,press,platform,success
19,146595.190361,670,180.97719,1,5955,press,platform,success
19,146595.190361,670,198.602339,1,5955,press,platform,success
19,57662.202504,1025,220.44436,0,5955,press,platform,time out
19,111151.483686,26,229.941583,1,5955,press,platform,success
19,146595.190361,670,247.545732,1,5955,press,platform,success
19,146595.190361,670,265.243258,1,5955,press,platform,success
19,111151.483686,26,274.880422,1,5955,press,platform,success
19,111151.483686,26,284.392049,1,5955,press,platform,success
19,57662.202504,1025,306.36725,0,5955,press,platform,time out
19,111151.483686,26,315.944765,1,5955,press,platform,success
19,111151.483686,26,325.475318,1,5955,press,platform,success
19,57662.202504,1025,347.613227,0,5955,press,platform,time out
19,146595.190361,670,365.116108,1,5955,press,platform,success
19,57662.202504,1025,386.742754,0,5955,press,platform,time out
19,111151.483686,26,396.11503,1,5955,press,platform,success
19,57662.202504,1025,417.919389,0,5955,press,platform,time out
19,111151.483686,26,427.338173,1,5955,press,platform,success
19,111151.483686,26,436.760785,1,5955,press,platform,success
19,146595.190361,670,454.145226,1,5955,press,platform,success
19,57662.202504,1025,475.940058,0,5955,press,platform,time out
19,57662.202504,1025,497.703917,0,5955,press,platform,time out
19,146595.190361,670,515.293474,1,5955,press,platform,success
19,57662.202504,1025,536.945657,0,5955,press,platform,time out
19,57662.202504,1025,558.669478,0,5955,press,platform,time out
19,111151.483686,26,568.611221,1,5955,press,platform,success
19,111151.483686,26,579.228389,1,5955,press,platform,success
19,146595.190361,670,599.802191,1,5955,press,platform,success
19,146595.190361,670,620.694546,1,5955,press,platform,success
19,111151.483686,26,631.732479,1,5955,press,platform,success
19,111151.483686,26,642.753133,1,5955,press,platform,success
